Player,Jersey,Team,Division,Tier,GP,G,A,PTS,PIM,PPG
Eric Newton,66,Leominster Stars,Massachusetts,Tier 1,5,1,1,2,0,0.4
Sean Hellmich,23,Long Island Sound,North Jersey 2,Tier 2,7,1,1,2,0,0.29
Andrew Mannello,9,Maple Shade Chiefs,South Jersey 2,Tier 2,3,1,1,2,0,0.67
Zach Andes,0,Marlton Dawgz,New Jersey,Tier 1,4,1,1,2,3,0.5
Cole Anderson Hilliard,97,Marlton Dawgz,New Jersey,Tier 1,4,1,1,2,0,0.5
Casey Cormier,23,Mill City Warriors,Massachusetts 2,Tier 2,4,1,1,2,0,0.5
Mike Martin,19,Niagara Daredevils,Buffalo,Tier 1,4,1,1,2,0,0.5
Troy Minor,89,Niagara Daredevils,Buffalo,Tier 1,4,1,1,2,0,0.5
Mike DeFazio,9,Oakridge Owls,Massachusetts,Tier 1,3,1,1,2,3,0.67
Corey Carr,69,Phoenixville Purge,Philadelphia 2,Tier 2,5,1,1,2,0,0.4
Matt Riordan,7,Raleigh Squall,Carolina 3,Tier 3,6,1,1,2,0,0.33
Garrett Pheiffer,35,Red River Rougarou,Texas 3,Tier 3,6,1,1,2,0,0.33
Patrick Severson,19,Seattle Cold Snacks,Pacific Northwest 3,Tier 3,4,1,1,2,1.5,0.5
Dan Dallala,67,Seattle Cold Snacks,Pacific Northwest 3,Tier 3,4,1,1,2,0,0.5
Drake Almeida,93,South Coast Chargers,New England 2,Tier 2,4,1,1,2,3,0.5
Jordan Albright,97,Steel City Show Stoppers,Pittsburgh,Tier 1,3,1,1,2,1.5,0.67
AJ Goetz,14,Arlington Plague,Washington DC,Tier 2,4,0,2,2,0,0.5
Adam Shiring,56,Arlington Plague,Washington DC,Tier 2,4,0,2,2,0,0.5
Devin Swisher,86,Atlantic City Chimney Fish,South Jersey 2,Tier 2,4,0,2,2,0,0.5
Harry Mcinnis,21,Bay Area Bashers,California 2,Tier 2,7,0,2,2,0,0.29
Andy Roy,10,Bay Area Burger Boys,California 3,Tier 3,4,0,2,2,0,0.5
Anthony Tinkham,69,Boston Rattlers,Boston 3,Tier 3,5,0,2,2,1.5,0.4
Jon Picard,4,Boston Rattlers,Boston 3,Tier 3,5,0,2,2,0,0.4
Jason Whitenight,68,Buffalo 716ers,Buffalo,Tier 1,5,0,2,2,0,0.4
Kodi Hollingsworth,19,Buffalo Wear-It,Buffalo 2,Tier 2,4,0,2,2,0,0.5
